Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
https://myaccount.myvodafone.com.au/usage,4,363,280,595,133.72,0.00%,0.03806,0.38,0.07,10340
https://myaccount.myvodafone.com.au/history.json,7,68,40,196,52.45,0.00%,0.06713,0.75,0.02,11449.1
UsageHistory,4,664,466,1204,312.16,0.00%,0.02851,2.02,0.07,72470
https://myaccount.myvodafone.com.au/purchase,3,345,283,463,83.47,0.00%,0.08954,0.9,0.17,10340
PurchaseHistory,3,616,506,705,82.67,0.00%,0.05312,2.78,0.13,53647
https://myaccount.myvodafone.com.au/signout,3,313,279,354,30.94,0.00%,0.10626,1.07,0.18,10340
LogOut,3,779,735,832,40.04,0.00%,0.0382,2.06,0.12,55350
Vodafone_10UserGroup:https://myaccount.myvodafone.com.au/,5,350,84,879,286.67,0.00%,0.03469,0.71,0.06,20938.4
Vodafone_10UserGroup:https://myaccount.myvodafone.com.au/purchase,7,334,277,384,31.6,0.00%,0.03053,0.31,0.06,10340.1
Vodafone_10UserGroup:https://www.vodafone.com.au/rest/Navigation,27,176,130,390,67.48,0.00%,0.10168,4.23,0.03,42614.8
Vodafone_10UserGroup:https://myaccount.myvodafone.com.au/history.json,13,38,28,48,7.13,0.00%,0.05681,0.52,0.02,9380.5
Vodafone_10UserGroup:PurchaseHistory,7,580,501,737,85.96,0.00%,0.02765,1.45,0.07,53649.1
Vodafone_10UserGroup:https://auth.myvodafone.com.au/oam/server/auth_cred_submit,5,1571,1214,2449,458.67,0.00%,0.02442,33.78,0.23,1416882.4
Vodafone_10UserGroup:https://www.myvodafone.com.au/obrar.cgi?encreply=t1nYAfsHQVRwzByJD9b333RtC3OrZ2AecLTkH7t2ic6cXgE61glxiLzhnSlYxkPBOtjhuRUy4K/J1177ECYlHDtmrAW1cUrPMhMWeUxzbKw+8Xe48nEWirY11ZlNXwjl7pkEnSr8BGwqc9JuycVWx4HyHUym23NBITGODVQWc9aopQKjNErwmduSRoRxktHbyMwruW7RYKewIX0dpRTjkyumohiWTDn9B6e2+Q2aGcQJzP/T8zKpcM7xVC4ahhjEgIscPc4RExQSWofG/OonJ1OrFGh7s5U5L798i1z8fkkuhIGwoijXNJkAd+AHUdTeIExlAYjTbLt7cnnq6GEEKqAZ5FOUPurLfwZo9sgNcP7vAhRNLRul9jUWmkDsqnNo6/Tck+kHrdw/Sj6SQMKJA2oqkHg01cybQCShqfBkV/75CoBSoW1ilIUU/4Vt6vorIGueByM2VGWrbeU9G3Z2ajUVXRrkfnvptWpmeFQg+ULcGcnAoqLmfGFyLNI8zGIb2hAcdkKwAM3svY2NwV5fGjycnASvRno+VMvdRq+/qWRfDWWHTVDzjTRHimGd4xSl7DGQ8Pp6pRpFfwA6o5uIGfAL0z31a0jU6S+U2ijlJD9XzM55rapmTaGBDX8XKQ1Qi8cZawrDak/337PJIrxjR6g3CH7LUzvNl+IFmcK+M1Jmi4Jt50ISU6TXymcsjQ6895mHbSqOHGGGKjemOptcBgstMi7sligTtYFj3+x2g5OO2VODBSf+hiKatR4+EMRW2xWEbCS3FY/BskHY0LjQmlojfoU24EDF3qpD0lbvLygcyeZ6MoraGwVGyAWdIwXNKouQYI8uhNGJPNPdIEIeSiOdGbnlnKsYXFL62lVnOiVY00bSLftZC3AXag7qFGeDQGaKeOgrsJzjJdda2bGOQsah0Tn/7Qmu5dO+MTC+ZJcJGXzsHDwMzEdiDeSm/ft2xUNkelVF2Si2d9iaWC+jhfxXG//U53ry48FB6RTyczAQXdR4x7M3vaggedrJdY0BMkDXXWnwVRxU7b01OwzlTeLqJ900Y05EHAqbcmxFanoPvh8fWVj98t73zljo6fjok+ClZwKUKtT9+UyXk4+xWduk00T8TKdkGf7JCdUvqCC4ALK8qdkdb2lMAJS4JTrw9KNMNl8iBbL+fB6WvcfV2Eht0Y1tGwa8VCHEDWCz6ENA/kPVOq0mTzgkSxDaC+abmZarz8YNndtgfF1YPomVQ6vZ32BZ2g6Mkt843/WhgbybGYVPAGYzwGdSZNYKKrWU&cksum=c92b65db65003464f2f2c8a46b102de5fc930c9b,5,1338,1087,1663,256.34,0.00%,0.02438,2.78,0.38,116925
Vodafone_10UserGroup:https://myaccount.myvodafone.com.au/dashboard.json,14,70,27,127,40.09,0.00%,0.05368,0.58,0.02,11062.7
Vodafone_10UserGroup:ClickOnLoginButton,5,3194,2671,4397,629.64,0.00%,0.02041,31.44,0.52,1577113.4
Vodafone_10UserGroup:https://myaccount.myvodafone.com.au/usage,6,439,307,865,194.34,0.00%,0.02883,0.29,0.05,10340.3
Vodafone_10UserGroup:UsageHistory,6,671,485,1085,224.89,0.00%,0.02371,1.68,0.06,72471.3
